			1stON PR			VON PR			Biased 1stON PR			Unbiased VON PR	
Rank	Item Name	Rep-Rank	Visit-Rank	Item Name	Rep-Rank	Visit-Rank	Item Name	Rep-Rank	Visit-Ranks	Item Name	Rep-Rank	Visit-Ranks
1	11	2	1	11	2	1	11	2	1	19	3	7
2	18ª Esquadra da Polícia de Segurança Pública	5	6	Polícia de Segurança Pública - 7ª Esquadra	1	2	Polícia de Segurança Pública - 7ª Esquadra	1	2	11	2	1
3	Polícia de Segurança Pública - 7ª Esquadra	1	2	18ª Esquadra da Polícia de Segurança Pública	5	6	18ª Esquadra da Polícia de Segurança Pública	5	6	PSP Sra da Hora	10	8
4	19	3	7	19	3	7	Policia PSP 13ª	4	5	18ª Esquadra da Polícia de Segurança Pública	5	6
5	PSP Sra da Hora	10	8	PSP Sra da Hora	10	8	19	3	7	Polícia de Segurança Pública - 7ª Esquadra	1	2
6	Quartel da GNR - GIPS	29	32	Polícia de Segurança Pública (b)	6	4	Polícia: Comando Metr. Porto	8	3	Polícia de Segurança Pública (b)	6	4
7	Polícia: Comando Metr. Porto	8	3	Polícia: Comando Metr. Porto	8	3	PSP Sra da Hora	10	8	PSP Maia	11	12
8	Policia PSP 13ª	4	5	Policia PSP 13ª	4	5	Polícia de Segurança Pública (b)	6	4	Polícia: Comando Metr. Porto	8	3
9	Polícia de Segurança Pública (b)	6	4	Polícia de Segurança Pública (d)	7	11	Polícia de Segurança Pública (d)	7	11	Polícia de Segurança Pública (d)	7	11
10	39	37	34	PSP Maia	11	12	17	9	9	Policia PSP 13ª	4	5
